SDS 2.1RQ Results	1																								
Filename	Untitled 1																								
Assay Type	RQ Study																								
EmbeddedFile	john dawes card 1																								
Run DateTime	Mon Feb 11 13:08:29 GMT 2008																								
Operator																									
ThermalCycleParams																									
EmbeddedFile	john dawes card 2																								
Run DateTime	Mon Feb 11 16:11:12 GMT 2008																								
Operator																									
ThermalCycleParams																									

Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Outlier	Filename
1		fp1 day3 v	Il12a-Rn00584538_m1	Target	1	10.384224		31.55474		10.598396		20.956345		0	1			Automatic			Automatic	1.0175787	201204		john dawes card 1
2		fp1 day3 v	Cebpe-Rn00567306_g1	Target	1	1.4603829		32.95445		11.998104		20.956345		0	1			Automatic			Automatic	0.26428357	201204		john dawes card 1
3		fp1 day3 v	Il5-Rn01459975_m1	Target	2	3.3862786		35.65412		14.697777		20.956345		0	1			Automatic			Automatic	0.36130795	201204		john dawes card 1
4		fp1 day3 v	Slit2-Rn00575268_m1	Target	10	7.233863		32.12075		11.164406		20.956345		0	1			Automatic			Automatic	0.95422596	201204		john dawes card 1
5		fp1 day3 v	Ptgds-Rn00564605_m1	Target	20	3.1537497		35.066967		14.110622		20.956345		0	1			Automatic			Automatic	0.37859982	201204		john dawes card 1
6		fp1 day3 v	Cxcr3-Rn00584689_m1	Target	30	7.8993907		32.440365		11.48402		20.956345		0	1			Automatic			Automatic	0.89772755	201204		john dawes card 1
7		fp1 day3 v	Il2-Rn00587673_m1	Target	40	4.119868		35.223816		14.267471		20.956345		0	1			Automatic			Automatic	0.7051987	201204		john dawes card 1
8		fp1 day3 v	Il8ra-Rn00570857_s1	Target	1	1.8067644		35.97655		15.020206		20.956345		0	1			Automatic			Automatic	0.29705846	201204		john dawes card 1
9		fp1 day3 v	Rgs3-Rn00571037_m1	Target	28.448927	6.958167		28.448927		7.4925823		20.956345		0	1			Automatic			Automatic	0.6562716	201204		john dawes card 1
10		fp1 day3 v	Alpl-Rn00564931_m1	Target	33.454952	5.840436		33.454952		12.498608		20.956345		0	1			Automatic			Automatic	0.87829894	201204		john dawes card 1
11		fp1 day3 v	18S-Hs99999901_s1	Endogenous Control	20.956345	8.958763		20.956345				20.956345						Automatic			Automatic	0.8473376	201204		john dawes card 1
12		fp1 day3 v	Pdgfa-Rn00709363_m1	Target	28.445232	9.831288		28.445232		7.488888		20.956345		0	1			Automatic			Automatic	1.151145	201204		john dawes card 1
13		fp1 day3 v	Mmp13-Rn01448197_m1	Target	34.915367	3.0117486		34.915367		13.9590225		20.956345		0	1			Automatic			Automatic	0.4351176	201204		john dawes card 1
14		fp1 day3 v	Tnf-Rn99999017_m1	Target	31.884468	4.007871		31.884468		10.928123		20.956345		0	1			Automatic			Automatic	0.6038425	201204		john dawes card 1
15		fp1 day3 v	Grb2-Rn00578230_m1	Target	33.54035	0.84868896		33.54035		12.584007		20.956345		0	1			Automatic			Automatic	0.2312383	201204		john dawes card 1
16		fp1 day3 v	Il1b-Rn00580432_m1	Target	31.471775	7.0236025		31.471775		10.51543		20.956345		0	1			Automatic			Automatic	0.7981445	201204		john dawes card 1
17		fp1 day3 v	Ccl9-Rn01471276_m1	Target	31.97366	3.058116		31.97366		11.017315		20.956345		0	1			Automatic			Automatic	0.42461607	201204		john dawes card 1
18		fp1 day3 v	Cxcl10-Rn00594648_m1	Target	28.962765	8.499299		28.962765		8.00642		20.956345		0	1			Automatic			Automatic	0.6213923	201204		john dawes card 1
19		fp1 day3 v	Runx2-Rn01512296_m1	Target	31.870592	0.5750324		31.870592		10.9142475		20.956345		0	1			Automatic			Automatic	0.10030804	201204		john dawes card 1
20		fp1 day3 v	Ccr1-Rn00571950_s1	Target	29.168869	5.0156736		29.168869		8.212524		20.956345		0	1			Automatic			Automatic	0.46858382	201204		john dawes card 1
21		fp1 day3 v	Cx3cr1-Rn00591798_m1	Target	28.425762	9.163347		28.425762		7.4694176		20.956345		0	1			Automatic			Automatic	0.76806015	201204		john dawes card 1
22		fp1 day3 v	Ccl4-Rn00587826_m1	Target	32.115623	5.4162035		32.115623		11.159279		20.956345		0	1			Automatic			Automatic	0.7759767	201204		john dawes card 1
23		fp1 day3 v	Ifng-Rn00594078_m1	Target	Undetermined	0.013110876		40		19.043655		20.956345						Automatic			Automatic	1.0265654	201204		john dawes card 1
24		fp1 day3 v	Gpr30-Rn00592091_s1	Target	30.363394	6.9944263		30.363394		9.407049		20.956345		0	1			Automatic			Automatic	0.7717798	201204		john dawes card 1
25		fp1 day3 v	Col2a1-Rn00491926_g1	Target	29.4301	2.6695526		29.4301		8.473755		20.956345		0	1			Automatic			Automatic	0.15269013	201204		john dawes card 1
26		fp1 day3 v	Cxcl2-Rn00586403_m1	Target	35.82119	2.7309127		35.82119		14.864845		20.956345		0	1			Automatic			Automatic	0.6235918	201204		john dawes card 1
27		fp1 day3 v	Bdnf-Rn00560868_m1	Target	Undetermined	0.036898375		40		19.043655		20.956345						Automatic			Automatic	0.2	201204		john dawes card 1
28		fp1 day3 v	Il12b-Rn00575112_m1	Target	34.612846	6.558017		34.612846		13.656502		20.956345		0	1			Automatic			Automatic	1.0121967	201204		john dawes card 1
29		fp1 day3 v	Il6-Rn00561420_m1	Target	34.37714	4.983359		34.37714		13.420795		20.956345		0	1			Automatic			Automatic	0.7106979	201204		john dawes card 1
30		fp1 day3 v	Tnfrsf1a-Rn00565310_m1	Target	27.395575	5.869062		27.395575		6.43923		20.956345		0	1			Automatic			Automatic	0.6337161	201204		john dawes card 1
31		fp1 day3 v	Il8rb-Rn00567841_m1	Target	33.796722	5.0313845		33.796722		12.840378		20.956345		0	1			Automatic			Automatic	0.57857907	201204		john dawes card 1
32		fp1 day3 v	Cxcl11-Rn00788262_g1	Target	33.742622	2.8558228		33.742622		12.786278		20.956345		0	1			Automatic			Automatic	0.31151986	201204		john dawes card 1
33		fp1 day3 v	Vegfa-Rn00582935_m1	Target	26.598122	8.943991		26.598122		5.641777		20.956345		0	1			Automatic			Automatic	0.91666675	201204		john dawes card 1
34		fp1 day3 v	Il13-Rn00587615_m1	Target	Undetermined	0.028068662		40		19.043655		20.956345						Automatic			Automatic	0.7238301	201204		john dawes card 1
35		fp1 day3 v	Ccl20-Rn00570287_m1	Target	Undetermined	0.014189959		40		19.043655		20.956345						Automatic			Automatic	0.6032615	201204		john dawes card 1
36		fp1 day3 v	Tac1-Rn00562002_m1	Target	34.305714	3.625636		34.305714		13.349369		20.956345		0	1			Automatic			Automatic	0.5766078	201204		john dawes card 1
37		fp1 day3 v	B2m-Rn00560865_m1	Target	21.664568	9.355852		21.664568		0.70822334		20.956345		0	1			Automatic			Automatic	0.8998897	201204		john dawes card 1
